,country,region,district,street,address,lat,lon
0,Chile,Region Metropolitana,Santiago,Diagonal Paraguay 265,Chile Region Metropolitana Santiago Diagonal Paraguay 265,-33.44292,-70.63754
1,Chile,Region Metropolitana,Santiago,Morandé 83,Chile Region Metropolitana Santiago Morandé 83,-33.44252,-70.65312
2,Chile,Region Metropolitana,Santiago,Abate Molina 91,Chile Region Metropolitana Santiago Abate Molina 91,-33.618,-70.57584
3,Chile,Region Metropolitana,Santiago,Santo Domingo 1301,Chile Region Metropolitana Santiago Santo Domingo 1301,-33.43636,-70.6529
4,Chile,Region Metropolitana,Santiago,Catedral 2301,Chile Region Metropolitana Santiago Catedral 2301,-33.43782,-70.65545
5,Chile,Region Metropolitana,Independencia,Anibal Pinto 1145,Chile Region Metropolitana Independencia Anibal Pinto 1145,-33.4266477,-70.6546486
6,Chile,Region Metropolitana,Providencia,Padre Mariano 140,Chile Region Metropolitana Providencia Padre Mariano 140,-33.4255799,-70.61673
